User,Time,Model,Input tokens,Output tokens,Cost,Balance
open-ui,3/25/2025, 3:16:44 PM,qwen2.5-coder-extra-ctx:7b,196,48,0.0244,99994.2196
open-ui,3/25/2025, 3:16:02 PM,qwen2.5-coder-extra-ctx:7b,207,42,0.0249,99994.2440
open-ui,3/25/2025, 3:14:33 PM,qwen2.5-coder-extra-ctx:7b,157,15,0.0172,99994.2689
open-ui,3/25/2025, 3:14:08 PM,qwen2.5-coder-extra-ctx:7b,150,28,0.0178,99994.2861
open-ui,3/25/2025, 3:13:28 PM,qwen2.5-coder-extra-ctx:7b,111,35,0.0146,99994.3039
open-ui,3/25/2025, 2:59:56 PM,qwen2.5-coder-extra-ctx:7b,87,18,0.0105,99994.3185
open-ui,3/25/2025, 2:59:34 PM,qwen2.5-coder-extra-ctx:7b,44,37,0.0081,99994.3290
open-ui,3/25/2025, 2:58:52 PM,qwen2.5-coder-extra-ctx:7b,7,20,0.0027,99994.3371
Philipp A. Baer,3/25/2025, 2:00:50 PM,hf.co/bartowski/open-r1_OlympicCoder-7B-GGUF:Q4_K_M,44,369,41.3000,-3.6517
open-ui,3/25/2025, 1:57:17 PM,qwen2.5-coder-extra-ctx:7b,1452,43,0.1495,99994.3398
open-ui,3/25/2025, 1:56:53 PM,qwen2.5-coder-extra-ctx:7b,1400,32,0.1432,99994.4893
open-ui,3/25/2025, 1:55:21 PM,qwen2.5-coder-extra-ctx:7b,691,231,0.0922,99994.6325
open-ui,3/25/2025, 1:53:37 PM,qwen2.5-coder-extra-ctx:7b,547,136,0.0683,99994.7247
open-ui,3/25/2025, 1:47:52 PM,qwen2.5-coder-extra-ctx:7b,381,160,0.0541,99994.7930
open-ui,3/25/2025, 1:45:26 PM,qwen2.5-coder-extra-ctx:7b,385,0,0.0000,99994.8471
open-ui,3/25/2025, 1:44:18 PM,qwen2.5-coder-extra-ctx:7b,259,108,0.0367,99994.8471
open-ui,3/25/2025, 1:35:41 PM,qwen2.5-coder-extra-ctx:7b,223,28,0.0251,99994.8838
open-ui,3/25/2025, 1:34:20 PM,qwen2.5-coder-extra-ctx:7b,78,140,0.0218,99994.9089
open-ui,3/25/2025, 1:30:40 PM,qwen2.5-coder-extra-ctx:7b,83,0,0.0000,99994.9307
open-ui,3/25/2025, 1:22:23 PM,qwen2.5-coder-extra-ctx:7b,441,66,0.0507,99994.9307
open-ui,3/24/2025, 3:22:08 PM,qwen2.5-coder-extra-ctx:7b,5,38,0.0043,99994.9814
open-ui,3/24/2025, 3:16:36 PM,qwen2.5-coder-extra-ctx:7b,6,183,0.0189,99994.9857
open-ui,3/24/2025, 3:13:34 PM,hf.co/bartowski/DeepSeek-R1-Distill-Qwen-7B-GGUF:Q4_K_M,6,0,0.0000,99995.0046
open-ui,3/24/2025, 3:12:02 PM,hf.co/bartowski/DeepSeek-R1-Distill-Qwen-7B-GGUF:Q4_K_M,6,0,0.0000,99995.0046
open-ui,3/24/2025, 3:10:06 PM,llama3.2:latest,6,134,0.0042,99995.0046
open-ui,3/24/2025, 3:05:35 PM,llama3.2:latest,31,53,0.0025,99995.0088
Philipp A. Baer,3/21/2025, 5:17:09 AM,qwen2.5-coder-extra-ctx:7b,483,79,0.0562,37.6483
Philipp A. Baer,3/20/2025, 3:40:24 PM,qwen2.5-coder-extra-ctx:7b,46,515,0.0561,37.7045
Philipp A. Baer,3/20/2025, 3:36:09 PM,qwen2.5-coder-extra-ctx:7b,52,325,0.0377,37.7606
Philipp A. Baer,3/20/2025, 3:35:45 PM,qwen2.5-coder-extra-ctx:7b,45,558,0.0603,37.7983
Philipp A. Baer,3/20/2025, 1:20:27 PM,qwen2.5-coder-extra-ctx:7b,265,332,0.0597,37.8586
Philipp A. Baer,3/20/2025, 1:19:31 PM,qwen2.5-coder-extra-ctx:7b,266,514,0.0780,37.9183
Philipp A. Baer,3/20/2025, 4:59:21 AM,qwen2.5-coder-extra-ctx:7b,1284,760,0.2044,37.9963
Philipp A. Baer,3/20/2025, 4:57:57 AM,qwen2.5-coder-extra-ctx:7b,614,654,0.1268,38.2007
Philipp A. Baer,3/20/2025, 4:57:15 AM,qwen2.5-coder-extra-ctx:7b,292,288,0.0580,38.3275
Philipp A. Baer,3/20/2025, 4:56:29 AM,qwen2.5-coder-extra-ctx:7b,56,215,0.0271,38.3855
Philipp A. Baer,3/20/2025, 4:32:40 AM,qwen2.5-coder-extra-ctx:7b,721,262,0.0983,38.4126
Philipp A. Baer,3/20/2025, 4:32:17 AM,qwen2.5-coder-extra-ctx:7b,489,209,0.0698,38.5109
Philipp A. Baer,3/20/2025, 4:31:54 AM,qwen2.5-coder-extra-ctx:7b,42,421,0.0463,38.5807
Philipp A. Baer,3/19/2025, 10:09:16 AM,qwen2.5-coder-extra-ctx:7b,501,135,0.0636,38.6270
Philipp A. Baer,3/19/2025, 6:48:38 AM,qwen2.5-coder-extra-ctx:7b,39,542,0.0581,38.6906
Philipp A. Baer,3/19/2025, 4:57:21 AM,qwen2.5-coder-extra-ctx:7b,493,497,0.0990,38.7487
Philipp A. Baer,3/19/2025, 4:56:46 AM,qwen2.5-coder-extra-ctx:7b,37,440,0.0477,38.8477
Philipp A. Baer,3/19/2025, 4:38:40 AM,qwen2.5-coder-extra-ctx:7b,45,1035,0.1080,38.8954
Philipp A. Baer,3/19/2025, 4:33:08 AM,qwen2.5-coder-extra-ctx:7b,36,283,0.0319,39.0034
Philipp A. Baer,3/19/2025, 4:31:33 AM,qwen2.5-coder-extra-ctx:7b,53,590,0.0643,39.0353
open-ui,3/18/2025, 8:05:21 PM,hf.co/bartowski/DeepSeek-R1-Distill-Qwen-7B-GGUF:Q4_K_M,43,1004,0.1047,99995.0113
open-ui,3/18/2025, 7:09:56 PM,qwen2.5-coder-extra-ctx:7b,2478,129,0.2607,99995.1160
open-ui,3/18/2025, 7:07:22 PM,qwen2.5-coder-extra-ctx:7b,1112,515,0.1627,99995.3767
open-ui,3/18/2025, 7:02:27 PM,qwen2.5-coder-extra-ctx:7b,1730,340,0.2070,99995.5394
open-ui,3/18/2025, 3:31:20 PM,qwen2.5-coder-extra-ctx:7b,1450,261,0.1711,99995.7464
open-ui,3/18/2025, 10:54:45 AM,hf.co/bartowski/DeepSeek-R1-Distill-Qwen-7B-GGUF:Q4_K_M,554,552,0.1106,99995.9175
open-ui,3/18/2025, 10:50:59 AM,hf.co/bartowski/DeepSeek-R1-Distill-Qwen-7B-GGUF:Q4_K_M,1400,1,0.1401,99996.0281
open-ui,3/18/2025, 9:47:18 AM,hf.co/bartowski/DeepSeek-R1-Distill-Qwen-7B-GGUF:Q4_K_M,1825,445,0.2270,99996.1682
open-ui,3/18/2025, 9:46:31 AM,hf.co/bartowski/DeepSeek-R1-Distill-Qwen-7B-GGUF:Q4_K_M,447,625,0.1072,99996.3952
open-ui,3/18/2025, 9:44:26 AM,hf.co/bartowski/DeepSeek-R1-Distill-Qwen-7B-GGUF:Q4_K_M,487,1770,0.2257,99996.5024
Philipp A. Baer,3/17/2025, 3:33:05 PM,qwen2.5-coder-extra-ctx:7b,2293,651,0.2944,39.0996
Philipp A. Baer,3/17/2025, 3:31:55 PM,qwen2.5-coder-extra-ctx:7b,1718,558,0.2276,39.3940
Philipp A. Baer,3/17/2025, 3:31:08 PM,qwen2.5-coder-extra-ctx:7b,1669,569,0.2238,39.6216
Philipp A. Baer,3/17/2025, 3:30:27 PM,qwen2.5-coder-extra-ctx:7b,554,553,0.1107,39.8454
Philipp A. Baer,3/17/2025, 3:28:42 PM,qwen2.5-coder-extra-ctx:7b,46,490,0.0536,39.9561
Philipp A. Baer,3/17/2025, 12:44:52 PM,qwen2.5-coder-extra-ctx:7b,497,296,0.0793,40.0097
Philipp A. Baer,3/17/2025, 11:41:11 AM,qwen2.5-coder-extra-ctx:7b,1547,241,0.1788,40.0890
Philipp A. Baer,3/17/2025, 11:39:50 AM,qwen2.5-coder-extra-ctx:7b,528,552,0.1080,40.2678
Philipp A. Baer,3/17/2025, 11:38:24 AM,qwen2.5-coder-extra-ctx:7b,686,252,0.0938,40.3758
Philipp A. Baer,3/17/2025, 11:37:59 AM,qwen2.5-coder-extra-ctx:7b,40,189,0.0229,40.4696
Philipp A. Baer,3/17/2025, 11:01:50 AM,qwen2.5-coder-extra-ctx:7b,47,550,0.0597,40.4925
Philipp A. Baer,3/17/2025, 5:31:09 AM,qwen2.5-coder-extra-ctx:7b,50,190,0.0240,40.5522
Philipp A. Baer,3/17/2025, 4:52:09 AM,qwen2.5-coder-extra-ctx:7b,1835,499,0.2334,40.5762
Philipp A. Baer,3/17/2025, 4:49:31 AM,qwen2.5-coder-extra-ctx:7b,945,818,0.1763,40.8096
Philipp A. Baer,3/17/2025, 4:47:01 AM,qwen2.5-coder-extra-ctx:7b,47,444,0.0491,40.9859
Philipp A. Baer,3/16/2025, 6:56:24 AM,qwen2.5-coder-extra-ctx:7b,524,458,0.0982,41.0350
Philipp A. Baer,3/16/2025, 6:54:12 AM,qwen2.5-coder-extra-ctx:7b,45,460,0.0505,41.1332
Philipp A. Baer,3/16/2025, 6:45:46 AM,qwen2.5-coder-extra-ctx:7b,948,297,0.1245,41.1837
Philipp A. Baer,3/16/2025, 6:44:00 AM,qwen2.5-coder-extra-ctx:7b,624,308,0.0932,41.3082
Philipp A. Baer,3/16/2025, 6:43:02 AM,qwen2.5-coder-extra-ctx:7b,488,117,0.0605,41.4014
Philipp A. Baer,3/16/2025, 6:05:54 AM,qwen2.5-coder-extra-ctx:7b,481,89,0.0570,41.4619
Philipp A. Baer,3/16/2025, 5:32:54 AM,qwen2.5-coder-extra-ctx:7b,584,236,0.0820,41.5189
Philipp A. Baer,3/16/2025, 5:32:01 AM,qwen2.5-coder-extra-ctx:7b,909,135,0.1044,41.6009
Philipp A. Baer,3/16/2025, 5:31:45 AM,qwen2.5-coder-extra-ctx:7b,623,235,0.0858,41.7053
Philipp A. Baer,3/16/2025, 5:31:17 AM,qwen2.5-coder-extra-ctx:7b,517,104,0.0621,41.7911
Philipp A. Baer,3/16/2025, 5:11:42 AM,qwen2.5-coder-extra-ctx:7b,1365,642,0.2007,41.8532
Philipp A. Baer,3/15/2025, 8:20:22 PM,qwen2.5-coder-extra-ctx:7b,1350,588,0.1938,42.0539
Philipp A. Baer,3/15/2025, 8:19:47 PM,qwen2.5-coder-extra-ctx:7b,773,559,0.1332,42.2477
Philipp A. Baer,3/15/2025, 8:19:08 PM,qwen2.5-coder-extra-ctx:7b,42,713,0.0755,42.3809
Philipp A. Baer,3/15/2025, 9:12:09 AM,qwen2.5-coder-extra-ctx:7b,41,343,0.0384,42.4564
Philipp A. Baer,3/15/2025, 9:11:23 AM,qwen2.5-coder-extra-ctx:7b,693,104,0.0797,42.4948
Philipp A. Baer,3/15/2025, 9:10:56 AM,qwen2.5-coder-extra-ctx:7b,42,177,0.0219,42.5745
Philipp A. Baer,3/15/2025, 5:02:03 AM,qwen2.5-coder-extra-ctx:7b,2310,599,0.2909,42.5964
Philipp A. Baer,3/15/2025, 5:01:27 AM,qwen2.5-coder-extra-ctx:7b,1282,536,0.1818,42.8873
Philipp A. Baer,3/15/2025, 4:59:14 AM,qwen2.5-coder-extra-ctx:7b,1367,339,0.1706,43.0691
Philipp A. Baer,3/15/2025, 4:59:03 AM,qwen2.5-coder-extra-ctx:7b,1057,292,0.1349,43.2397
Philipp A. Baer,3/15/2025, 4:58:29 AM,qwen2.5-coder-extra-ctx:7b,757,280,0.1037,43.3746
Philipp A. Baer,3/15/2025, 4:58:05 AM,qwen2.5-coder-extra-ctx:7b,45,251,0.0296,43.4783
Philipp A. Baer,3/14/2025, 9:23:41 PM,qwen2.5-coder-extra-ctx:7b,1892,457,0.2349,43.5079
Philipp A. Baer,3/14/2025, 9:23:15 PM,qwen2.5-coder-extra-ctx:7b,1269,605,0.1874,43.7428
Philipp A. Baer,3/14/2025, 9:22:59 PM,qwen2.5-coder-extra-ctx:7b,725,528,0.1253,43.9302
Philipp A. Baer,3/14/2025, 9:21:56 PM,qwen2.5-coder-extra-ctx:7b,4497,386,0.4883,44.0555
Philipp A. Baer,3/14/2025, 9:21:21 PM,qwen2.5-coder-extra-ctx:7b,3490,538,0.4028,44.5438
Philipp A. Baer,3/14/2025, 5:08:57 PM,qwen2.5-coder-extra-ctx:7b,42,667,0.0709,44.9466
Philipp A. Baer,3/14/2025, 2:29:18 PM,qwen2.5-coder-extra-ctx:7b,807,233,0.1040,45.0175
Philipp A. Baer,3/14/2025, 2:28:55 PM,qwen2.5-coder-extra-ctx:7b,501,287,0.0788,45.1215
Philipp A. Baer,3/14/2025, 2:27:01 PM,qwen2.5-coder-extra-ctx:7b,292,189,0.0481,45.2003
Philipp A. Baer,3/14/2025, 2:26:44 PM,qwen2.5-coder-extra-ctx:7b,43,231,0.0274,45.2484
Philipp A. Baer,3/14/2025, 1:37:17 PM,qwen2.5-coder-extra-ctx:7b,575,604,0.1179,45.2758
Philipp A. Baer,3/14/2025, 1:36:56 PM,qwen2.5-coder-extra-ctx:7b,46,512,0.0558,45.3937
Philipp A. Baer,3/14/2025, 1:35:15 PM,qwen2.5-coder-extra-ctx:7b,2633,839,0.3472,45.4495
Philipp A. Baer,3/14/2025, 1:33:35 PM,qwen2.5-coder-extra-ctx:7b,1715,899,0.2614,45.7967
Philipp A. Baer,3/14/2025, 1:32:42 PM,qwen2.5-coder-extra-ctx:7b,1573,700,0.2273,46.0581
Philipp A. Baer,3/14/2025, 1:29:46 PM,qwen2.5-coder-extra-ctx:7b,769,203,0.0972,46.2854
Philipp A. Baer,3/14/2025, 1:28:11 PM,qwen2.5-coder-extra-ctx:7b,52,700,0.0752,46.3826
Philipp A. Baer,3/14/2025, 1:27:36 PM,qwen2.5-coder-extra-ctx:7b,4644,877,0.5521,46.4578
Philipp A. Baer,3/14/2025, 1:25:39 PM,qwen2.5-coder-extra-ctx:7b,4423,455,0.4878,47.0099
Philipp A. Baer,3/14/2025, 1:25:09 PM,qwen2.5-coder-extra-ctx:7b,2980,721,0.3701,47.4977
Philipp A. Baer,3/14/2025, 1:00:56 PM,qwen2.5-coder-extra-ctx:7b,2626,221,0.2847,47.8678
Philipp A. Baer,3/14/2025, 12:59:20 PM,qwen2.5-coder-extra-ctx:7b,1511,645,0.2156,48.1525
Philipp A. Baer,3/14/2025, 12:58:48 PM,qwen2.5-coder-extra-ctx:7b,1426,547,0.1973,48.3681
Philipp A. Baer,3/14/2025, 12:58:06 PM,qwen2.5-coder-extra-ctx:7b,623,284,0.0907,48.5654
Philipp A. Baer,3/14/2025, 12:57:15 PM,qwen2.5-coder-extra-ctx:7b,814,222,0.1036,48.6561
Philipp A. Baer,3/14/2025, 12:56:27 PM,qwen2.5-coder-extra-ctx:7b,75,285,0.0360,48.7597
Philipp A. Baer,3/14/2025, 12:44:30 PM,qwen2.5-coder-extra-ctx:7b,431,696,0.1127,48.7957
Philipp A. Baer,3/14/2025, 12:43:55 PM,qwen2.5-coder-extra-ctx:7b,54,362,0.0416,48.9084
Philipp A. Baer,3/14/2025, 9:18:44 AM,qwen2.5-coder-extra-ctx:7b,2265,683,0.2948,48.9500
Philipp A. Baer,3/14/2025, 9:17:32 AM,qwen2.5-coder-extra-ctx:7b,1635,613,0.2248,49.2448
Philipp A. Baer,3/14/2025, 9:17:02 AM,qwen2.5-coder-extra-ctx:7b,1551,542,0.2093,49.4696
Philipp A. Baer,3/14/2025, 9:14:40 AM,qwen2.5-coder-extra-ctx:7b,525,535,0.1060,49.6789
Philipp A. Baer,3/14/2025, 8:29:50 AM,qwen2.5-coder-extra-ctx:7b,45,458,0.0503,49.7849
Philipp A. Baer,3/13/2025, 8:30:22 AM,qwen2.5-coder-extra-ctx:7b,569,307,0.0876,49.8352
Philipp A. Baer,3/13/2025, 8:28:22 AM,qwen2.5-coder-extra-ctx:7b,51,497,0.0548,49.9228
Philipp A. Baer,3/13/2025, 8:27:24 AM,qwen2.5-coder-extra-ctx:7b,35,189,0.0224,49.9776
open-ui,3/12/2025, 7:44:21 AM,llama3.2:latest,768,273,0.0312,99996.7281
open-ui,3/12/2025, 7:42:17 AM,llama3.2:latest,357,396,0.0226,99996.7593
open-ui,3/12/2025, 7:39:06 AM,hf.co/bartowski/DeepSeek-R1-Distill-Qwen-7B-GGUF:Q4_K_M,16,2037,0.2053,99996.7819
Maged,3/5/2025, 3:43:16 PM,viewpoint-local,524,449,0.0292,49.9555
Maged,3/5/2025, 2:05:20 PM,viewpoint-local,30,481,0.0153,49.9847
Ion,3/4/2025, 7:59:57 AM,llama3.2:latest,518,584,0.0331,49.7581
Ion,3/4/2025, 7:58:36 AM,llama3.2:latest,2048,479,0.0758,49.7912
open-ui,3/4/2025, 7:54:47 AM,viewpoint-local,591,534,0.0338,99996.9872
open-ui,3/4/2025, 7:54:00 AM,viewpoint-local,606,622,0.0368,99997.0210
Vishnu,3/4/2025, 7:33:01 AM,viewpoint-local,2048,431,0.0744,49.9256
open-ui,3/4/2025, 7:10:05 AM,viewpoint-local,571,479,0.0315,99997.0578
Ion,3/3/2025, 5:49:34 PM,viewpoint-local,1207,402,0.0483,49.8670
Ion,3/3/2025, 3:35:39 PM,llama3.2:latest,993,206,0.0360,49.9153
Ion,3/3/2025, 3:34:41 PM,llama3.2:latest,660,320,0.0294,49.9513
Ion,3/3/2025, 3:33:53 PM,llama3.2:latest,251,391,0.0193,49.9807
open-ui,3/3/2025, 2:38:47 PM,viewpoint-local,10,551,2.8050,99997.0893
open-ui,3/2/2025, 11:00:04 AM,viewpoint-local,477,572,0.0629,99999.8943
open-ui,3/2/2025, 10:59:24 AM,viewpoint-local,14,456,0.0282,99999.9572
Vishnu,3/2/2025, 10:57:10 AM,viewpoint-local,855,512,0.0820,999.7907
Vishnu,3/2/2025, 10:56:33 AM,viewpoint-local,285,560,0.0507,999.8727
Vishnu,3/2/2025, 10:56:05 AM,viewpoint-local,280,432,0.0427,999.9234
Vishnu,3/2/2025, 10:54:48 AM,viewpoint-local,13,260,0.0164,999.9661
open-ui,3/2/2025, 10:51:56 AM,viewpoint-local,14,229,0.0146,99999.9854
Vishnu,2/28/2025, 9:09:44 AM,llama3.2:latest,30,261,0.0175,999.9825
Timo,2/28/2025, 9:04:52 AM,viewpoint-local,12,116,0.0077,99999.9493
Timo,2/28/2025, 9:00:49 AM,viewpoint-local,8,709,0.0430,99999.9570
